file,sprite,variant,name_key,name_en,name_ko
Adventurer Bunny,99_AdventurerRabbit,,Costume_AdventurerRabbit_Name,Adventurer Bunny,모험가 토끼
Ancient Rabbit,PinkRabbit_Tree,,Costume_PinkRabbit_Tree_Name,Ancient Rabbit,옛 토끼
Armored Bunny,0_ArmoredRabbit,,Costume_ArmoredRabbit_Name,Armored Bunny,갑옷을 입은 토끼
Armored Bunny (Alt),ArmoredRabbit_Alt,alt appearance,Costume_ArmoredRabbit_Name,Armored Bunny,갑옷을 입은 토끼
Bear of the Storm Canyon,WizardRabbit_Bear,,Costume_WizardRabbit_Bear_Name,Bear of the Storm Canyon,폭풍 협곡의 곰
Black Bone Skeleton,Skeleton_Alt,,Costume_Skeleton_Alt_Name,Black Bone Skeleton,검은 뼈 스켈레톤
Black Rabbit,WhiteRabbit_Alt,,Costume_WhiteRabbit_Alt_Name,Black Rabbit,검은색 토끼
Black Wolf,WhiteWolf_Alt,,Costume_WhiteWolf_Alt_Name,Black Wolf,검은 늑대
Black-Caped Rabbit,RedHolyRabbit_Black,,Costume_RedHolyRabbit_Black_Name,Black-Caped Rabbit,검은 망토 토끼
Blue-Hooded Rabbit,RedHolyRabbit_Alt,,Costume_RedHolyRabbit_Alt_Name,Blue-Hooded Rabbit,파란망토 토끼
Braided Hair Rabbit,0_DarkBrownRabbit,,Costume_BraidedRabbit_Name,Braided Hair Rabbit,땋은 머리 토끼
Braided Hair Rabbit (Alt),DarkBrownRabbit_Alt,alt appearance,Costume_BraidedRabbit_Name,Braided Hair Rabbit,땋은 머리 토끼
Brown Rabbit,0_BrownRabbit,,Costume_BrownRabbit_Name,Brown Rabbit,갈색 토끼
Brown Rabbit (Alt),BrownRabbit_Alt,alt appearance,Costume_BrownRabbit_Name,Brown Rabbit,갈색 토끼
Chicken,FireCat_Chicken,,Costume_FireCat_Chicken_Name,Chicken,닭
Crocodile,12_Crocodile,,Costume_Crocodile_Name,Crocodile,악어
Crocodile (Alt),Crocodile_Alt,alt appearance,Costume_Crocodile_Name,Crocodile,악어
Deer,12_Deer,,Costume_Deer_Name,Deer,사슴
Deer (Alt),Deer_Alt,alt appearance,Costume_Deer_Name,Deer,사슴
Devil Suit Rabbit,Bat_RedRabbit,,Costume_Bat_RedRabbit_Name,Devil Suit Rabbit,악마 옷 토끼
