file,sprite,id,kind,rarity,status,active_type,name_key,name_en,name_ko,categories,effect_ko,effect_en
Absolute Ring,Valiya,1112,artifact,3,active,Default,Item_SweepRange_Enhanced_Name,Absolute Ring,절대반지,STURDY,특수 공격 범위 +30/45/60% / 특수 공격 피해 +10/20/45%,Special Attack Range +30/45/60% / Special Attack Damage +10/20/45%
Academy Brigandine,Brigandine,1216,artifact,2,active,Locked,Item_Brigandine_Name,Academy Brigandine,아카데미 브리건딘,"GUARDIAN, ACADEMY",+2/3/4/6/8/10 방어력 / +14/18/20/24/29/35 마법서 가속,+2/3/4/6/8/10 Defense / +14/18/20/24/29/35 Grimoire Haste
Academy Fountain Pen,FountainPen,1291,artifact,2,active,Locked,Item_EvasionCooldown_Name,Academy Fountain Pen,아카데미 만년필,"SHADOW, ACADEMY",회피 성공 시 모든 마법서 재사용 대기시간 5/10/15/20/25% 가속 / 회피 수치 4당 마법서 피해량 1% 획득,Accelerate all Grimoire cooldowns by 5/10/15/20/25% upon successful Evasion / Gain Grimoire Damage 1% per 4 Evasion
"Agma Projection Sword No. 190, 191",BladeOfLight,1181,artifact,2,active,Locked,Item_SwordOfLight_Name,"Agma Projection Sword No. 190, 191","아그마 투영검 190,191번",STURDY,+2/3/4/6/8//10/12/14 물리 피해,+2/3/4/6/8//10/12/14 Physical Damage
Ahmad’s Spirit Powder,JellyFishDust1,1200,artifact,1,active,Locked,Item_SummonJellyFish_Electric_Name,Ahmad’s Spirit Powder,아마드의 영혼 가루,"COMPANION, MAGITECH",,
Air Bolt,Skill_Icon_Airbolt,3000,artifact,0,active,Hidden,Skill_0007_Name,Air Bolt,에어 볼트,,스킬 에어 볼트 획득 / 주변의 공기를 작게 압축하여 빠르게 발사 / CD: 1s / MP: 2 / 0 + 물리 피해 100/110%,Acquire Skill Air Bolt / Compresses and rapidly fires the surrounding air / CD: 1s / MP: 2 / 0 + Physical Damage 100/110%
Alchemist's Flask,Alchemist'sFlask,1302,artifact,1,active,Locked,Item_AlchemyFlask_Name,Alchemist's Flask,연금술사의 플라스크,ALCHEMY,포션을 마시면 15초 동안 모든 피해 증폭 +5/10/15 증가 버프 획득,Drink a potion to gain a buff that increases Universal Damage Boost by +5/10/15 for 15 sec
Alfonso’s Horn,Alfonso’sHorn,1130,artifact,2,active,Default,Item_Alfonso_Name,Alfonso’s Horn,알폰소의 뿔,COMPANION,+1/2/3/4/5//6/8/10 회피 / +10/20/30/40/50//60/70/80% 동료가 입히는 피해량,+1/2/3/4/5//6/8/10 Evasion / +10/20/30/40/50//60/70/80% Companion Damage
Amber,Amber,1094,artifact,1,active,Default,Item_FirstAttackBonusDamage_Name,Amber,호박석,MYSTIC,피해를 입지 않은 적 공격 시 +10/20/40/80% 추가 피해,Deals +10/20/40/80% additional damage to enemies with full health
Amulet of Courage,BloodBrooch,1283,artifact,1,active,Default,Item_RedAmulet_Name,Amulet of Courage,용기의 아뮬렛,STURDY,+3/6/10% 무기 피해량 / +1/1/1 HP 흡수,+3/6/10% Weapon Damage / +1/1/1 Life Steal
Ancient Anvil,AncientAnvil,1229,artifact,1,active,Default,Item_FlameHeart_Name,Ancient Anvil,고대 모루,FLAMESWORD,태양검이 바닥에 10/20/30/40% 더 빨리 떨어짐 / +2/4/6/8 화염속성 피해,Solar Blade falls to the ground 10/20/30/40% faster / +2/4/6/8 Fire Damage
Angry Potato,AngryPotato,1300,artifact,2,active,Locked,Item_AngryPotato_Name,Angry Potato,화난 감자,ALCHEMY,+4/7/11/15% 방어 관통 / +1/2/3/4 행운 / +5/5/10/10% 이동 속도,+4/7/11/15% Ignore Defense / +1/2/3/4 Luck / +5/5/10/10% Move Speed
"Artificial Fairy, Iphiel",ArtificialSpiritIfiel,1078,artifact,2,active,Default,Item_IncreaseMpRegenOnGuard_Name,"Artificial Fairy, Iphiel",인공정령 이피엘,LAKE,가드 중 MP 재생을 +5/10/15/20/30/50 획득하지만 이동 속도가 90% 감소함,"While blocking, grants +5/10/15/20/30/50 MP Regeneration but reduces Move Speed by 90%"
Ashen Planet,PlanetaryModel_Gray,1242,artifact,0,active,Default,Item_Planet_Gray_Name,Ashen Planet,잿빛 행성,PLANET,얼음 탄환을 발사하는 잿빛행성 소환 / [피해량: +15/20/25/30/35/40],Summons a gray planet that shoots Ice projectiles / [Damage: +15/20/25/30/35/40]
Balisong,Balisong,1114,artifact,1,active,Default,Item_TooCloseDamage_Name,Balisong,발리송,PRECISION,2.5타일 이내 거리의 적에게 주는 피해량 +6/8/11/14%,Damage dealt to enemies within 2.5 tiles: +6/8/11/14%
Ball of Red Yarn,RedYarnBall,1128,artifact,2,active,Default,Item_FlameBall_Name,Ball of Red Yarn,붉은 실뭉치,EMBER,+20/40/60/80/100% 화상 피해량,+20/40/60/80/100% Burn Damage
