file,sprite,id,kind,rarity,status,active_type,name_key,name_en,name_ko,effect_ko,effect_en
Advance,StoneTablet_Advance,2028,tablet,1,active,Default,Item_StoneTablet_Advance_Name,Advance,전진,[석판 효과] / UP 1 / UPUP 1 / UPUPUP 1,[Tablet effect] / UP 1 / UPUP 1 / UPUPUP 1
Advent,StoneTablet_Advent,2021,tablet,0,active,Default,Item_StoneTablet_Visit_Name,Advent,도래,[석판 효과] / UP 1 / UPUP 1 / DOWN -1 / DOWNDOWN -1,[Tablet effect] / UP 1 / UPUP 1 / DOWN -1 / DOWNDOWN -1
Approximation,StoneTablet_Approximation,2044,tablet,0,active,Default,Item_StoneTablet_Approximation_Name,Approximation,근사,[석판 효과] / UP 1 / RIGHT 1,[Tablet effect] / UP 1 / RIGHT 1
Binary Star,StoneTablet_BinaryStar2,2017,tablet,1,active,Default,Item_StoneTablet_BinaryStar_Name,Binary Star,쌍성,[석판 효과] / UPUP 2 / DOWNDOWN 2,[Tablet effect] / UPUP 2 / DOWNDOWN 2
Brilliance,StoneTablet_Brilliance,2042,tablet,3,active,Default,Item_StoneTablet_Brilliance_Name,Brilliance,광휘,[석판 효과] / HORIZONTAL 1 / UP 2 / DOWN 2,[Tablet effect] / HORIZONTAL 1 / UP 2 / DOWN 2
Cheers,StoneTablet_Cheer,2026,tablet,0,active,Default,Item_StoneTablet_Cheer_Name,Cheers,환호,[석판 효과] / UP 1 / [회전 불가],[Tablet effect] / UP 1 / [Cannot rotate]
Chivalry,StoneTablet_Chivalry,2011,tablet,0,active,Default,Item_StoneTablet_Chivalry_Name,Chivalry,기사도,[석판 효과] / KNIGHTUPLEFT 1,[Tablet effect] / KNIGHTUPLEFT 1
Cohesion,StoneTablet_Cohesion,2006,tablet,1,active,Default,Item_StoneTablet_Aggregation_Name,Cohesion,응집,[석판 효과] / HORIZONTAL -1 / UP +3,[Tablet effect] / HORIZONTAL -1 / UP +3
Competition,StoneTablet_Compete,2019,tablet,1,active,Default,Item_StoneTablet_Compete_Name,Competition,경쟁,[석판 효과] / DIAUPLEFT -1 / UP -1 / DOWN +3,[Tablet effect] / DIAUPLEFT -1 / UP -1 / DOWN +3
Compression,StoneTablet_Compression,2046,tablet,3,active,Default,Item_StoneTablet_Compression_Name,Compression,압축,[석판 효과] / UP 3 / UPUP 2 / UPUPUP 1,[Tablet effect] / UP 3 / UPUP 2 / UPUPUP 1
Conviction,Confidence,2051,tablet,3,active,Locked,Item_StoneTablet_Confident_Name,Conviction,확신,[석판 효과] / UP 5,[Tablet effect] / UP 5
Courage,StoneTabletN_Courage,2055,tablet,3,active,Locked,Item_StoneTablet_Courage_Name,Courage,용기,[석판 효과] / LEFT_RISING 1 / RIGHT_FALLING 1 / DIAUPRIGHT 2 / DIADOWNLEFT 2,[Tablet effect] / LEFT_RISING 1 / RIGHT_FALLING 1 / DIAUPRIGHT 2 / DIADOWNLEFT 2
Curse,StoneTablet_Curse,12000,tablet,3,active,Hidden,Item_StoneTablet_Curse_Name,Curse,저주,[석판 효과] / CHECKERBOARD2 1 / CHECKERBOARD -1,[Tablet effect] / CHECKERBOARD2 1 / CHECKERBOARD -1
Daydream,StoneTablet_h_Fly,2033,tablet,3,active,Locked,Item_StoneTablet_Daydream_Name,Daydream,백일몽,[석판 효과] / DIAUPRIGHT 2 / DIAUPLEFT 2 / DIADOWNRIGHT 2 / DIADOWNLEFT 2,[Tablet effect] / DIAUPRIGHT 2 / DIAUPLEFT 2 / DIADOWNRIGHT 2 / DIADOWNLEFT 2
Dedication,StoneTablet_Tribute,2025,tablet,1,active,Default,Item_StoneTablet_Tribute_Name,Dedication,헌정,[석판 효과] / DIAUPLEFT 1 / DIAUPRIGHT 1 / DIADOWNLEFT 1 / DIADOWNRIGHT 1,[Tablet effect] / DIAUPLEFT 1 / DIAUPRIGHT 1 / DIADOWNLEFT 1 / DIADOWNRIGHT 1
Defensive Move,StoneTablet_NewRare_2,2060,tablet,2,active,Locked,Item_StoneTablet_DefensiveMove_Name,Defensive Move,방어수,[석판 효과] / DIAUPLEFT 1 / DIAUPRIGHT 2 / DIADOWNLEFT 2 / DIADOWNRIGHT 1 / LEFT -1 / RIGHT -1,[Tablet effect] / DIAUPLEFT 1 / DIAUPRIGHT 2 / DIADOWNLEFT 2 / DIADOWNRIGHT 1 / LEFT -1 / RIGHT -1
Desire,StoneTablet_Hunger,2020,tablet,1,active,Default,Item_StoneTablet_Hanker_Name,Desire,열망,[석판 효과] / UP 2 / [회전 불가],[Tablet effect] / UP 2 / [Cannot rotate]
Destiny,StoneTablet_Destiny,2010,tablet,0,active,Default,Item_StoneTablet_Destiny_Name,Destiny,운명,[석판 효과] / DOWN +1 / [회전 불가],[Tablet effect] / DOWN +1 / [Cannot rotate]
Disconnection,StoneTablet_h_P3M5,2049,tablet,2,active,Default,Item_StoneTablet_Disconnect_Name,Disconnection,단절,[석판 효과] / UP 3 / DOWN 3 / LEFT -1 / RIGHT -1 / [회전 불가],[Tablet effect] / UP 3 / DOWN 3 / LEFT -1 / RIGHT -1 / [Cannot rotate]
Distribution,StoneTablet_Distribution,2030,tablet,1,active,Default,Item_StoneTablet_Distribution_Name,Distribution,분배,[석판 효과] / UP 1 / DOWN 1 / LEFT 1 / RIGHT 1 / [회전 불가],[Tablet effect] / UP 1 / DOWN 1 / LEFT 1 / RIGHT 1 / [Cannot rotate]
Dry,StoneTablet_Dry,2047,tablet,0,active,Default,Item_StoneTablet_Dry_Name,Dry,건조,[석판 효과] / DOWN 1 / UP 1 / [회전 불가],[Tablet effect] / DOWN 1 / UP 1 / [Cannot rotate]
Entrance,StoneTablet_h_121,2032,tablet,1,active,Locked,Item_StoneTablet_Entrance_Name,Entrance,입구,[석판 효과] / DIAUPRIGHT 1 / DIAUPLEFT 1 / UP 2 / [회전 불가],[Tablet effect] / DIAUPRIGHT 1 / DIAUPLEFT 1 / UP 2 / [Cannot rotate]
Exit,StoneTablet_hr_121,2050,tablet,1,active,PocketDimensionShop,Item_StoneTablet_Exit_Name,Exit,출구,[석판 효과] / DIADOWNLEFT 1 / DOWN 2 / DIADOWNRIGHT 1 / [회전 불가],[Tablet effect] / DIADOWNLEFT 1 / DOWN 2 / DIADOWNRIGHT 1 / [Cannot rotate]
Exploitation,StoneTablet_Exploitation,2005,tablet,0,active,Default,Item_StoneTablet_Exploitation_Name,Exploitation,착취,[석판 효과] / RIGHT 1 / LEFT -1,[Tablet effect] / RIGHT 1 / LEFT -1
Flag,StoneTablet_NewRare_1,2059,tablet,2,active,Locked,Item_StoneTablet_Flag_Name,Flag,깃발,[배치 조건] / LEFTEND PLACED / [석판 효과] / UP 1 / DOWN -1 / RIGHT 1 / RIGHTRIGHT 2 / RIGHTRIGHTRIGHT 3 / [회전 불가],[Placement condition] / LEFTEND PLACED / [Tablet effect] / UP 1 / DOWN -1 / RIGHT 1 / RIGHTRIGHT 2 / RIGHTRIGHTRIGHT 3 / [Cannot rotate]
Foundation,StoneTablet_Foundation,2029,tablet,2,active,Default,Item_StoneTablet_Foundation_Name,Foundation,기반,[석판 효과] / HORIZONTAL 1 / [회전 불가],[Tablet effect] / HORIZONTAL 1 / [Cannot rotate]
Future,StoneTablet_Future,2040,tablet,1,active,Default,Item_StoneTablet_Future_Name,Future,미래,[석판 효과] / UP 1 / LEFT 1 / DIAUPLEFT 1 / DIAUPRIGHT 1,[Tablet effect] / UP 1 / LEFT 1 / DIAUPLEFT 1 / DIAUPRIGHT 1
